title,url,topic_num
防疫險之亂,https://www.cna.com.tw/topic/newstopic/3902.aspx,3902
港味六四,https://www.cna.com.tw/topic/newstopic/3901.aspx,3901
台北國際書展,https://www.cna.com.tw/topic/newstopic/3900.aspx,3900
台美貿易倡議,https://www.cna.com.tw/topic/newstopic/3899.aspx,3899
回顧戰火百日,https://www.cna.com.tw/topic/newstopic/3898.aspx,3898
AT-3教練機墜毀,https://www.cna.com.tw/topic/newstopic/3897.aspx,3897
促轉會熄燈,https://www.cna.com.tw/topic/newstopic/3895.aspx,3895
促轉會熄燈,https://www.cna.com.tw/topic/newstopic/3895.aspx,3895
臺產總經理專訪,https://www.cna.com.tw/topic/newstopic/3894.aspx,3894
疫情下的運動員,https://www.cna.com.tw/topic/newstopic/3893.aspx,3893
強尼戴普告安柏赫德,https://www.cna.com.tw/topic/newstopic/3892.aspx,3892
結果與分析,https://www.cna.com.tw/topic/newstopic/3891.aspx,3891
德州小學槍擊案,https://www.cna.com.tw/topic/newstopic/3890.aspx,3890
上海解封中,https://www.cna.com.tw/topic/newstopic/3889.aspx,3889
印太經濟架構,https://www.cna.com.tw/topic/newstopic/3888.aspx,3888
猴痘,https://www.cna.com.tw/topic/newstopic/3887.aspx,3887
2022澳洲大選,https://www.cna.com.tw/topic/newstopic/3886.aspx,3886
111年會考,https://www.cna.com.tw/topic/newstopic/3885.aspx,3885
金曲獎,https://www.cna.com.tw/topic/newstopic/3884.aspx,3884
南加州教會槍案,https://www.cna.com.tw/topic/newstopic/3883.aspx,3883
行政院文化獎,https://www.cna.com.tw/topic/newstopic/3881.aspx,3881
2022巴西大選,https://www.cna.com.tw/topic/newstopic/3880.aspx,3880
斯里蘭卡破產,https://www.cna.com.tw/topic/newstopic/3879.aspx,3879
尹錫悅,https://www.cna.com.tw/topic/newstopic/3878.aspx,3878
五一不加班,https://www.cna.com.tw/topic/newstopic/3877.aspx,3877
改革挑戰,https://www.cna.com.tw/topic/newstopic/3876.aspx,3876
防疫險理賠,https://www.cna.com.tw/topic/newstopic/3874.aspx,3874
大學甄選決戰,https://www.cna.com.tw/topic/newstopic/3873.aspx,3873
尹錫悅就職,https://www.cna.com.tw/topic/newstopic/3872.aspx,3872
巴西聽奧,https://www.cna.com.tw/topic/newstopic/3871.aspx,3871
政院部會組改,https://www.cna.com.tw/topic/newstopic/3870.aspx,3870
專題報導,https://www.cna.com.tw/topic/newstopic/3869.aspx,3869
大選前線,https://www.cna.com.tw/topic/newstopic/3867.aspx,3867
美最高法院廢墮胎權,https://www.cna.com.tw/topic/newstopic/3866.aspx,3866
其他新聞,https://www.cna.com.tw/topic/newstopic/3865.aspx,3865
專題,https://www.cna.com.tw/topic/newstopic/3864.aspx,3864
白沙屯媽祖進香,https://www.cna.com.tw/topic/newstopic/3863.aspx,3863
台鐵公司化挑戰,https://www.cna.com.tw/topic/newstopic/3861.aspx,3861
台鐵不加班,https://www.cna.com.tw/topic/newstopic/3860.aspx,3860
華視新聞出錯,https://www.cna.com.tw/topic/newstopic/3858.aspx,3858
馬斯克,https://www.cna.com.tw/topic/newstopic/3857.aspx,3857
杭州亞運,https://www.cna.com.tw/topic/newstopic/3856.aspx,3856
2022WHA,https://www.cna.com.tw/topic/newstopic/3855.aspx,3855
老屋風華,https://www.cna.com.tw/topic/newstopic/3854.aspx,3854
國務機要費除罪化,https://www.cna.com.tw/topic/newstopic/3853.aspx,3853
港人移民難,https://www.cna.com.tw/topic/newstopic/3852.aspx,3852
索中安全協議,https://www.cna.com.tw/topic/newstopic/3851.aspx,3851
分析,https://www.cna.com.tw/topic/newstopic/3850.aspx,3850
最新戰況,https://www.cna.com.tw/topic/newstopic/3848.aspx,3848
國際反應,https://www.cna.com.tw/topic/newstopic/3846.aspx,3846
疫苗施打,https://www.cna.com.tw/topic/newstopic/3835.aspx,3835
全球情報,https://www.cna.com.tw/topic/newstopic/3834.aspx,3834
中重症情形,https://www.cna.com.tw/topic/newstopic/3832.aspx,3832
防疫須知,https://www.cna.com.tw/topic/newstopic/3831.aspx,3831
重點發展,https://www.cna.com.tw/topic/newstopic/3830.aspx,3830
李明哲獲釋返台,https://www.cna.com.tw/topic/newstopic/3828.aspx,3828
美國國會挺台,https://www.cna.com.tw/topic/newstopic/3827.aspx,3827
帛琉海洋大會,https://www.cna.com.tw/topic/newstopic/3825.aspx,3825
中國封控台廠遭殃,https://www.cna.com.tw/topic/newstopic/3824.aspx,3824
台電鳥獸危機,https://www.cna.com.tw/topic/newstopic/3823.aspx,3823
台灣網漫市場,https://www.cna.com.tw/topic/newstopic/3822.aspx,3822
文夏過世,https://www.cna.com.tw/topic/newstopic/3821.aspx,3821
葛萊美專訪,https://www.cna.com.tw/topic/newstopic/3820.aspx,3820
2022報稅季,https://www.cna.com.tw/topic/newstopic/3819.aspx,3819
台灣無人機戰術,https://www.cna.com.tw/topic/newstopic/3818.aspx,3818
東南水泥施工意外,https://www.cna.com.tw/topic/newstopic/3817.aspx,3817
水果勇士大冒險,https://www.cna.com.tw/topic/newstopic/3816.aspx,3816
MLB春訓現場,https://www.cna.com.tw/topic/newstopic/3815.aspx,3815
WTT,https://www.cna.com.tw/topic/newstopic/3814.aspx,3814
淨零碳排,https://www.cna.com.tw/topic/newstopic/3813.aspx,3813
蘇建文判官人生,https://www.cna.com.tw/topic/newstopic/3812.aspx,3812
家用快篩,https://www.cna.com.tw/topic/newstopic/3811.aspx,3811
台鐵神秘列車,https://www.cna.com.tw/topic/newstopic/3810.aspx,3810
最新天氣,https://www.cna.com.tw/topic/newstopic/3809.aspx,3809
山難意外,https://www.cna.com.tw/topic/newstopic/3808.aspx,3808
國道事故,https://www.cna.com.tw/topic/newstopic/3807.aspx,3807
甲子園,https://www.cna.com.tw/topic/newstopic/3806.aspx,3806
串流片單,https://www.cna.com.tw/topic/newstopic/3805.aspx,3805
家樂福出售,https://www.cna.com.tw/topic/newstopic/3804.aspx,3804
義務役恢復1年,https://www.cna.com.tw/topic/newstopic/3803.aspx,3803
花蓮台東地震,https://www.cna.com.tw/topic/newstopic/3802.aspx,3802
東方航空墜機,https://www.cna.com.tw/topic/newstopic/3801.aspx,3801
拜習通話,https://www.cna.com.tw/topic/newstopic/3800.aspx,3800
央行升息,https://www.cna.com.tw/topic/newstopic/3799.aspx,3799
2022美期中選舉,https://www.cna.com.tw/topic/newstopic/3798.aspx,3798
HBL,https://www.cna.com.tw/topic/newstopic/3796.aspx,3796
幻象2000失事,https://www.cna.com.tw/topic/newstopic/3795.aspx,3795
2022法國大選,https://www.cna.com.tw/topic/newstopic/3794.aspx,3794
台中火災6死,https://www.cna.com.tw/topic/newstopic/3793.aspx,3793
銀髮族車禍,https://www.cna.com.tw/topic/newstopic/3791.aspx,3791
303全台大停電,https://www.cna.com.tw/topic/newstopic/3789.aspx,3789
教召新制,https://www.cna.com.tw/topic/newstopic/3788.aspx,3788
蓬佩奧訪台,https://www.cna.com.tw/topic/newstopic/3787.aspx,3787
美跨黨派訪團來台,https://www.cna.com.tw/topic/newstopic/3786.aspx,3786
石虎保育,https://www.cna.com.tw/topic/newstopic/3784.aspx,3784
瑞士出生的台灣人,https://www.cna.com.tw/topic/newstopic/3783.aspx,3783
香港特首選舉,https://www.cna.com.tw/topic/newstopic/3782.aspx,3782
巴戈癌逝,https://www.cna.com.tw/topic/newstopic/3781.aspx,3781
丹大林道,https://www.cna.com.tw/topic/newstopic/3780.aspx,3780
2022韓國大選,https://www.cna.com.tw/topic/newstopic/3779.aspx,3779
徐州8孩案,https://www.cna.com.tw/topic/newstopic/3778.aspx,3778
台灣女足征戰路,https://www.cna.com.tw/topic/newstopic/3777.aspx,3777
越野車入山怎麼管,https://www.cna.com.tw/topic/newstopic/3776.aspx,3776
歐洲晶片法案,https://www.cna.com.tw/topic/newstopic/3775.aspx,3775
索馬利蘭,https://www.cna.com.tw/topic/newstopic/3774.aspx,3774
台股60週年,https://www.cna.com.tw/topic/newstopic/3773.aspx,3773
不易的原諒,https://www.cna.com.tw/topic/newstopic/3772.aspx,3772
獨立書店,https://www.cna.com.tw/topic/newstopic/3771.aspx,3771
賴清德訪宏都拉斯,https://www.cna.com.tw/topic/newstopic/3770.aspx,3770
2022春節特企,https://www.cna.com.tw/topic/newstopic/3769.aspx,3769
北市敬老金,https://www.cna.com.tw/topic/newstopic/3768.aspx,3768
111年學測,https://www.cna.com.tw/topic/newstopic/3766.aspx,3766
抗疫2週年,https://www.cna.com.tw/topic/newstopic/3765.aspx,3765
美國5G恐擾飛安,https://www.cna.com.tw/topic/newstopic/3764.aspx,3764
白沙屯媽祖,https://www.cna.com.tw/topic/newstopic/3762.aspx,3762
韓國瑜,https://www.cna.com.tw/topic/newstopic/3761.aspx,3761
以小搏大：前進立陶宛,https://www.cna.com.tw/topic/newstopic/3760.aspx,3760
東加火山噴發,https://www.cna.com.tw/topic/newstopic/3759.aspx,3759
老飯店重生,https://www.cna.com.tw/topic/newstopic/3758.aspx,3758
林姿妙涉貪,https://www.cna.com.tw/topic/newstopic/3757.aspx,3757
喬科維奇,https://www.cna.com.tw/topic/newstopic/3756.aspx,3756
F-16V戰機墜海,https://www.cna.com.tw/topic/newstopic/3755.aspx,3755
2023過世名人,https://www.cna.com.tw/topic/newstopic/3753.aspx,3753
哈薩克動亂,https://www.cna.com.tw/topic/newstopic/3752.aspx,3752
地震防災,https://www.cna.com.tw/topic/newstopic/3751.aspx,3751
社會住宅,https://www.cna.com.tw/topic/newstopic/3750.aspx,3750
疫苗注射隊,https://www.cna.com.tw/topic/newstopic/3749.aspx,3749
2022過世名人,https://www.cna.com.tw/topic/newstopic/3748.aspx,3748
總統2022新年談話,https://www.cna.com.tw/topic/newstopic/3747.aspx,3747
台劇,https://www.cna.com.tw/topic/newstopic/3746.aspx,3746
演唱會,https://www.cna.com.tw/topic/newstopic/3745.aspx,3745
2022奧斯卡,https://www.cna.com.tw/topic/newstopic/3744.aspx,3744
2022九合一備戰,https://www.cna.com.tw/topic/newstopic/3743.aspx,3743
酒駕修法,https://www.cna.com.tw/topic/newstopic/3742.aspx,3742
立場新聞高層被捕,https://www.cna.com.tw/topic/newstopic/3741.aspx,3741
111年元旦新制,https://www.cna.com.tw/topic/newstopic/3740.aspx,3740
高雄酒駕,https://www.cna.com.tw/topic/newstopic/3739.aspx,3739
屠圖大主教逝,https://www.cna.com.tw/topic/newstopic/3738.aspx,3738
LINE Bank總經理專訪,https://www.cna.com.tw/topic/newstopic/3736.aspx,3736
橋科園區,https://www.cna.com.tw/topic/newstopic/3735.aspx,3735
2021 10大新聞,https://www.cna.com.tw/topic/newstopic/3734.aspx,3734
小皇帝已長大,https://www.cna.com.tw/topic/newstopic/3733.aspx,3733
福島食品,https://www.cna.com.tw/topic/newstopic/3732.aspx,3732
香港立法會選舉,https://www.cna.com.tw/topic/newstopic/3731.aspx,3731
全球通膨挑戰,https://www.cna.com.tw/topic/newstopic/3730.aspx,3730
縣市合併升格,https://www.cna.com.tw/topic/newstopic/3728.aspx,3728
颱風重創菲律賓,https://www.cna.com.tw/topic/newstopic/3727.aspx,3727
王力宏風暴,https://www.cna.com.tw/topic/newstopic/3726.aspx,3726
大阪火警,https://www.cna.com.tw/topic/newstopic/3725.aspx,3725
NFT,https://www.cna.com.tw/topic/newstopic/3724.aspx,3724
第79屆金球獎,https://www.cna.com.tw/topic/newstopic/3723.aspx,3723
龍捲風重創美國,https://www.cna.com.tw/topic/newstopic/3722.aspx,3722
雙北大停電,https://www.cna.com.tw/topic/newstopic/3721.aspx,3721
尼加拉瓜斷交,https://www.cna.com.tw/topic/newstopic/3720.aspx,3720
永和弒父分屍案,https://www.cna.com.tw/topic/newstopic/3719.aspx,3719
外食漲價,https://www.cna.com.tw/topic/newstopic/3718.aspx,3718
比特犬,https://www.cna.com.tw/topic/newstopic/3717.aspx,3717
地中海難民悲歌,https://www.cna.com.tw/topic/newstopic/3716.aspx,3716
斯洛伐克團訪台,https://www.cna.com.tw/topic/newstopic/3715.aspx,3715
林昶佐罷免案,https://www.cna.com.tw/topic/newstopic/3714.aspx,3714
林秉樞施暴案,https://www.cna.com.tw/topic/newstopic/3713.aspx,3713
索羅門反政府示威,https://www.cna.com.tw/topic/newstopic/3712.aspx,3712
注射特攻隊,https://www.cna.com.tw/topic/newstopic/3711.aspx,3711
民主峰會,https://www.cna.com.tw/topic/newstopic/3710.aspx,3710
囤房稅,https://www.cna.com.tw/topic/newstopic/3709.aspx,3709
大谷翔平,https://www.cna.com.tw/topic/newstopic/3708.aspx,3708
新店槍擊案,https://www.cna.com.tw/topic/newstopic/3707.aspx,3707
超商店員遭刺死,https://www.cna.com.tw/topic/newstopic/3706.aspx,3706
三鶯線工安事故,https://www.cna.com.tw/topic/newstopic/3705.aspx,3705
銀髮時代來臨,https://www.cna.com.tw/topic/newstopic/3703.aspx,3703
跟騷法,https://www.cna.com.tw/topic/newstopic/3702.aspx,3702
彭帥在哪裡,https://www.cna.com.tw/topic/newstopic/3701.aspx,3701
台北通爭議,https://www.cna.com.tw/topic/newstopic/3700.aspx,3700
拜習會,https://www.cna.com.tw/topic/newstopic/3699.aspx,3699
北京證交所,https://www.cna.com.tw/topic/newstopic/3697.aspx,3697
2022台灣燈會,https://www.cna.com.tw/topic/newstopic/3696.aspx,3696
民眾黨,https://www.cna.com.tw/topic/newstopic/3695.aspx,3695
藍皮解憂號,https://www.cna.com.tw/topic/newstopic/3694.aspx,3694
坎特挺台,https://www.cna.com.tw/topic/newstopic/3693.aspx,3693
F-16V作戰隊成軍,https://www.cna.com.tw/topic/newstopic/3692.aspx,3692
公投意見發表會,https://www.cna.com.tw/topic/newstopic/3691.aspx,3691
中共19屆六中,https://www.cna.com.tw/topic/newstopic/3690.aspx,3690
瑪莎拉蒂擦撞毆人案,https://www.cna.com.tw/topic/newstopic/3689.aspx,3689
雙11,https://www.cna.com.tw/topic/newstopic/3688.aspx,3688
李應元病逝,https://www.cna.com.tw/topic/newstopic/3687.aspx,3687
中共六中全會,https://www.cna.com.tw/topic/newstopic/3686.aspx,3686
清大傳遭滲透,https://www.cna.com.tw/topic/newstopic/3685.aspx,3685
國際大咖OTT來了,https://www.cna.com.tw/topic/newstopic/3683.aspx,3683
日職,https://www.cna.com.tw/topic/newstopic/3682.aspx,3682
衣索比亞內戰,https://www.cna.com.tw/topic/newstopic/3681.aspx,3681
吳弭當選波士頓市長,https://www.cna.com.tw/topic/newstopic/3680.aspx,3680
京王線隨機砍人,https://www.cna.com.tw/topic/newstopic/3679.aspx,3679
COP26氣候峰會,https://www.cna.com.tw/topic/newstopic/3678.aspx,3678
周天成,https://www.cna.com.tw/topic/newstopic/3677.aspx,3677
2021日本國會大選,https://www.cna.com.tw/topic/newstopic/3676.aspx,3676
美軍在台協訓,https://www.cna.com.tw/topic/newstopic/3675.aspx,3675
軍公教調薪,https://www.cna.com.tw/topic/newstopic/3674.aspx,3674
台中立委補選,https://www.cna.com.tw/topic/newstopic/3673.aspx,3673
G20羅馬峰會,https://www.cna.com.tw/topic/newstopic/3672.aspx,3672
金漫獎,https://www.cna.com.tw/topic/newstopic/3671.aspx,3671
吳釗燮訪歐,https://www.cna.com.tw/topic/newstopic/3670.aspx,3670
三中案,https://www.cna.com.tw/topic/newstopic/3669.aspx,3669
元宇宙,https://www.cna.com.tw/topic/newstopic/3668.aspx,3668
宜蘭地震,https://www.cna.com.tw/topic/newstopic/3667.aspx,3667
史瓦帝尼,https://www.cna.com.tw/topic/newstopic/3666.aspx,3666
修憲,https://www.cna.com.tw/topic/newstopic/3665.aspx,3665
歐洲議會挺台,https://www.cna.com.tw/topic/newstopic/3664.aspx,3664
松坂大輔引退,https://www.cna.com.tw/topic/newstopic/3662.aspx,3662
陳柔縉離世,https://www.cna.com.tw/topic/newstopic/3661.aspx,3661
黃國書退黨,https://www.cna.com.tw/topic/newstopic/3660.aspx,3660
虎豹潭意外,https://www.cna.com.tw/topic/newstopic/3659.aspx,3659
兩輪危機終結青春,https://www.cna.com.tw/topic/newstopic/3658.aspx,3658
魷魚遊戲,https://www.cna.com.tw/topic/newstopic/3657.aspx,3657
台灣東洋,https://www.cna.com.tw/topic/newstopic/3656.aspx,3656
城中城大火,https://www.cna.com.tw/topic/newstopic/3655.aspx,3655
疫苗冷鏈挑戰,https://www.cna.com.tw/topic/newstopic/3654.aspx,3654
颱風圓規,https://www.cna.com.tw/topic/newstopic/3653.aspx,3653
110年國慶大會,https://www.cna.com.tw/topic/newstopic/3652.aspx,3652
2021玉山論壇,https://www.cna.com.tw/topic/newstopic/3651.aspx,3651
中國缺電危機,https://www.cna.com.tw/topic/newstopic/3650.aspx,3650
法參議院訪台團,https://www.cna.com.tw/topic/newstopic/3649.aspx,3649
金馬58,https://www.cna.com.tw/topic/newstopic/3648.aspx,3648
IG臉書大當機,https://www.cna.com.tw/topic/newstopic/3647.aspx,3647
潘朵拉文件,https://www.cna.com.tw/topic/newstopic/3646.aspx,3646
2021諾貝爾獎,https://www.cna.com.tw/topic/newstopic/3645.aspx,3645
岸田文雄,https://www.cna.com.tw/topic/newstopic/3644.aspx,3644
AIDA移除國旗,https://www.cna.com.tw/topic/newstopic/3643.aspx,3643
U23棒球世界盃,https://www.cna.com.tw/topic/newstopic/3642.aspx,3642
恩主公醫院疫苗疏失,https://www.cna.com.tw/topic/newstopic/3641.aspx,3641
中國限電,https://www.cna.com.tw/topic/newstopic/3640.aspx,3640
梅克爾卸任,https://www.cna.com.tw/topic/newstopic/3639.aspx,3639
孟晚舟返中國,https://www.cna.com.tw/topic/newstopic/3637.aspx,3637
安坑輕軌,https://www.cna.com.tw/topic/newstopic/3636.aspx,3636
CPTPP,https://www.cna.com.tw/topic/newstopic/3635.aspx,3635
德國大選,https://www.cna.com.tw/topic/newstopic/3634.aspx,3634
第76屆聯合國大會,https://www.cna.com.tw/topic/newstopic/3633.aspx,3633
日本新首相,https://www.cna.com.tw/topic/newstopic/3632.aspx,3632
中國禁台灣釋迦蓮霧,https://www.cna.com.tw/topic/newstopic/3631.aspx,3631
英美澳安全聯盟,https://www.cna.com.tw/topic/newstopic/3630.aspx,3630
戴口罩運動,https://www.cna.com.tw/topic/newstopic/3629.aspx,3629
聽障資訊平權,https://www.cna.com.tw/topic/newstopic/3628.aspx,3628
蘋果iPhone,https://www.cna.com.tw/topic/newstopic/3627.aspx,3627
漢光演習,https://www.cna.com.tw/topic/newstopic/3625.aspx,3625
理專之亂,https://www.cna.com.tw/topic/newstopic/3624.aspx,3624
傳駐美處正名,https://www.cna.com.tw/topic/newstopic/3623.aspx,3623
中國房市下行,https://www.cna.com.tw/topic/newstopic/3622.aspx,3622
颱風璨樹,https://www.cna.com.tw/topic/newstopic/3621.aspx,3621
911事件20週年,https://www.cna.com.tw/topic/newstopic/3620.aspx,3620
泉裕泰專訪,https://www.cna.com.tw/topic/newstopic/3619.aspx,3619
幾內亞政變,https://www.cna.com.tw/topic/newstopic/3618.aspx,3618
解析中共監管風暴,https://www.cna.com.tw/topic/newstopic/3617.aspx,3617
德國駐台代表專訪,https://www.cna.com.tw/topic/newstopic/3616.aspx,3616
低軌衛星商機,https://www.cna.com.tw/topic/newstopic/3615.aspx,3615
金鐘56,https://www.cna.com.tw/topic/newstopic/3614.aspx,3614
TaiwanPlus開播,https://www.cna.com.tw/topic/newstopic/3613.aspx,3613
愛爾達專訪,https://www.cna.com.tw/topic/newstopic/3612.aspx,3612
玉山森林火災,https://www.cna.com.tw/topic/newstopic/3611.aspx,3611
米其林指南,https://www.cna.com.tw/topic/newstopic/3610.aspx,3610
東京帕運,https://www.cna.com.tw/topic/newstopic/3609.aspx,3609
品種貓走私案,https://www.cna.com.tw/topic/newstopic/3608.aspx,3608
李行病逝,https://www.cna.com.tw/topic/newstopic/3607.aspx,3607
金曲32,https://www.cna.com.tw/topic/newstopic/3606.aspx,3606
海地強震,https://www.cna.com.tw/topic/newstopic/3605.aspx,3605
澳洲駐台代表專訪,https://www.cna.com.tw/topic/newstopic/3604.aspx,3604
中央社好POD,https://www.cna.com.tw/topic/newstopic/3603.aspx,3603
塔利班攻占阿富汗,https://www.cna.com.tw/topic/newstopic/3602.aspx,3602
尋職津貼,https://www.cna.com.tw/topic/newstopic/3601.aspx,3601
